ANDERSON_CRAIG,	63,	3492:18,	2.92,	2.82,	50.9,	91.44,	2.66,	2.62,	-1;
AULD_ALEX,	14,	645:02,	2.60,	3.35,	43.8,	88.39,	2.78,	2.43,	-1;
BACHMAN_RICHARD,	18,	928:05,	2.78,	2.78,	50.0,	90.91,	2.67,	2.43,	-1;
BACKSTROM_NIKLAS,	46,	2589:41,	1.92,	2.43,	44.1,	91.91,	2.58,	2.62,	-1;
BERNIER_JONATHAN,	16,	890:12,	2.22,	2.36,	48.5,	90.86,	2.53,	2.52,	-1;
BIRON_MARTIN,	21,	1220:01,	2.80,	2.41,	53.8,	90.54,	2.71,	2.69,	-1;
BISHOP_BEN,	10,	531:39,	2.82,	2.48,	53.2,	90.95,	2.69,	2.58,	-1;
BOBROVSKY_SERGEI,	29,	1550:05,	3.17,	2.98,	51.6,	89.96,	2.74,	2.59,	-1;
BOUCHER_BRIAN,	10,	546:21,	1.65,	3.40,	32.6,	88.08,	2.71,	2.59,	-1;
BRODEUR_MARTIN,	59,	3387:29,	2.43,	2.41,	50.2,	90.74,	2.76,	2.61,	-1;
BRYZGALOV_ILYA,	59,	3415:15,	3.04,	2.46,	55.3,	90.98,	2.67,	2.57,	-1;
BUDAJ_PETER,	17,	1036:57,	2.26,	2.49,	47.6,	91.50,	2.71,	2.69,	-1;
CLEMMENSEN_SCOTT,	30,	1565:52,	2.38,	2.57,	48.1,	91.33,	2.74,	2.53,	-1;
CONKLIN_TY,	15,	804:34,	2.46,	3.28,	42.9,	88.33,	2.49,	2.66,	-1;
CRAWFORD_COREY,	57,	3218:13,	2.78,	2.72,	50.5,	90.30,	2.60,	2.44,	-1;
DESLAURIERS_JEFF,	4,	241:12,	3.23,	2.74,	54.2,	90.27,	2.57,	2.44,	-1;
DIPIETRO_RICK,	7,	353:45,	3.22,	3.73,	46.3,	87.57,	2.72,	2.58,	-1;
DUBNYK_DEVAN,	47,	2653:27,	2.62,	2.65,	49.8,	91.50,	2.61,	2.50,	-1;
ELLIOTT_BRIAN,	38,	2214:35,	2.33,	1.57,	59.7,	94.00,	2.78,	2.48,	1;
ELLIS_DAN,	10,	418:42,	2.29,	2.72,	45.7,	91.12,	2.56,	2.47,	-1;
EMERY_RAY,	34,	1773:47,	2.88,	2.81,	50.6,	90.05,	2.55,	2.46,	-1;
ENROTH_JHONAS,	26,	1399:15,	2.27,	2.66,	46.1,	91.79,	2.79,	2.63,	-1;
FLEURY_MARC-ANDRE,	67,	3891:13,	3.25,	2.33,	58.3,	91.43,	2.68,	2.51,	-1;
GARON_MATHIEU,	48,	2483:45,	2.71,	2.85,	48.7,	90.09,	2.60,	2.54,	-1;
GIGUERE_JEAN-SEBASTIEN,	32,	1819:34,	2.31,	2.27,	50.4,	91.88,	2.59,	2.52,	-1;
GREISS_THOMAS,	19,	1042:43,	2.82,	2.30,	55.1,	91.53,	2.48,	2.57,	-1;
GUSTAVSSON_JONAS,	42,	2300:42,	2.90,	2.90,	50.0,	90.31,	2.71,	2.54,	-1;
HACKETT_MATT,	12,	535:34,	1.34,	2.46,	35.3,	91.91,	2.53,	2.46,	-1;
HALAK_JAROSLAV,	46,	2746:37,	2.53,	1.97,	56.3,	92.57,	2.56,	2.59,	-1;
HARDING_JOSH,	34,	1849:52,	1.91,	2.63,	42.1,	91.73,	2.69,	2.38,	-1;
HEDBERG_JOHAN,	27,	1586:10,	2.84,	2.19,	56.4,	91.87,	2.62,	2.57,	-1;
HILLER_JONAS,	73,	4247:31,	2.35,	2.56,	47.8,	91.02,	2.59,	2.44,	-1;
HOLTBY_BRADEN,	7,	360:34,	3.16,	2.50,	55.9,	92.19,	2.70,	2.39,	-1;
