CAMPOLI_CHRIS,	46,	879,	4,	14,	8,	68,	93,	130,	8.2,	28.6,	3.34,	2.39,	10.45,	90.25,	2.12,	2.80,	43.1,	2.67,	2.62,	35.4,	26.9,	37.6,	-1;
CARLE_MATT,	62,	1026,	2,	13,	8,	63,	87,	120,	4.5,	29.5,	2.57,	2.22,	7.99,	88.38,	2.92,	2.12,	58.0,	2.57,	2.59,	40.0,	20.2,	39.9,	-1;
CARNEY_KEITH,	61,	815,	1,	10,	4,	27,	44,	61,	3.2,	32.3,	2.28,	2.13,	8.24,	92.79,	3.00,	2.46,	54.9,	2.51,	2.54,	27.3,	33.9,	38.8,	-1;
CHARA_ZDENO,	77,	2066,	17,	34,	19,	207,	286,	391,	14.4,	28.8,	3.43,	2.47,	11.23,	91.47,	1.94,	2.48,	43.8,	2.93,	2.65,	31.8,	33.1,	35.1,	-1;
CHELIOS_CHRIS,	69,	1168,	3,	9,	4,	60,	106,	157,	8.3,	25.0,	1.85,	2.67,	7.29,	90.48,	2.88,	1.94,	59.7,	2.65,	2.57,	30.4,	33.9,	35.8,	-1;
CLARK_BRETT,	57,	1319,	5,	16,	6,	87,	112,	165,	8.1,	25.8,	2.82,	2.96,	9.89,	89.41,	2.67,	2.43,	52.3,	2.83,	2.53,	27.8,	31.0,	41.2,	-1;
COBURN_BRAYDON,	78,	1656,	9,	27,	8,	113,	173,	240,	9.4,	28.1,	3.48,	2.32,	11.71,	92.12,	2.66,	2.87,	48.1,	2.72,	2.60,	25.9,	33.8,	40.3,	-1;
COLAIACOVO_CARLO,	28,	488,	2,	3,	2,	30,	38,	56,	12.5,	18.8,	1.97,	3.32,	6.67,	89.29,	2.73,	2.85,	48.9,	2.74,	2.58,	24.0,	34.7,	41.3,	-1;
COMMODORE_MIKE,	67,	1219,	3,	12,	7,	97,	138,	211,	6.7,	26.7,	2.21,	3.79,	7.89,	87.76,	3.11,	2.77,	52.9,	2.72,	2.58,	27.7,	34.7,	37.6,	-1;
CORVO_JOE,	73,	1357,	13,	35,	17,	167,	218,	339,	12.9,	34.7,	4.46,	1.90,	11.85,	91.93,	3.03,	2.84,	51.6,	2.53,	2.68,	42.9,	18.2,	38.9,	-1;
CULLIMORE_JASSEN,	65,	1174,	3,	9,	3,	55,	67,	100,	6.5,	19.6,	2.35,	2.40,	8.65,	93.03,	2.70,	2.61,	50.8,	2.72,	2.67,	29.2,	39.1,	31.7,	-1;
CUMISKEY_KYLE,	38,	460,	0,	5,	1,	19,	27,	39,	0.0,	25.0,	2.60,	2.47,	8.89,	89.50,	2.72,	2.48,	52.3,	2.44,	2.59,	43.2,	20.4,	36.4,	-1;
DALEY_TREVOR,	82,	1623,	5,	19,	6,	87,	138,	178,	8.6,	32.8,	2.14,	2.55,	8.92,	90.69,	3.33,	2.43,	57.8,	2.65,	2.53,	27.5,	31.9,	40.7,	-1;
DALLMAN_KEVIN,	34,	438,	3,	4,	1,	41,	73,	94,	18.8,	25.0,	2.19,	1.23,	7.08,	95.89,	2.90,	3.19,	47.6,	2.49,	2.49,	35.7,	23.1,	41.2,	-1;
DAVISON_ROB,	34,	471,	1,	1,	1,	32,	41,	58,	10.0,	10.0,	1.27,	2.80,	5.10,	90.64,	2.35,	2.65,	46.9,	2.67,	2.48,	26.6,	35.6,	37.8,	-1;
DE_VRIES_GREG,	77,	1452,	4,	11,	3,	66,	90,	121,	6.5,	17.7,	2.56,	2.98,	10.42,	91.10,	2.54,	2.64,	49.1,	2.86,	2.49,	22.1,	35.6,	42.3,	-1;
DIPENTA_JOE,	23,	245,	1,	4,	1,	5,	9,	16,	8.3,	33.3,	2.94,	3.67,	15.79,	84.85,	2.37,	1.98,	54.5,	2.55,	2.64,	24.9,	33.7,	41.5,	-1;
EATON_MARK,	36,	706,	0,	3,	1,	28,	36,	48,	0.0,	13.0,	1.96,	3.14,	8.46,	90.56,	3.22,	2.40,	57.2,	2.87,	2.56,	20.0,	37.8,	42.2,	-1;
EDLER_ALEXANDER,	75,	1600,	8,	13,	6,	124,	180,	253,	11.1,	18.1,	2.70,	2.21,	8.81,	91.46,	2.53,	2.44,	50.9,	2.64,	2.56,	35.6,	28.7,	35.7,	-1;
EHRHOFF_CHRISTIAN,	77,	1671,	1,	21,	4,	96,	182,	262,	1.8,	37.5,	2.01,	2.08,	7.35,	91.69,	2.78,	2.30,	54.7,	2.76,	2.53,	29.3,	31.2,	39.4,	-1;
EMINGER_STEVE,	20,	222,	0,	2,	1,	14,	15,	22,	0.0,	40.0,	1.35,	2.42,	4.67,	90.53,	2.86,	2.60,	52.3,	2.60,	2.71,	36.0,	24.9,	39.1,	-1;
ENSTROM_TOBIAS,	82,	2006,	5,	33,	11,	105,	142,	208,	4.6,	30.6,	3.23,	2.96,	11.73,	90.33,	2.35,	3.51,	40.1,	2.84,	2.63,	30.3,	32.7,	36.9,	-1;
ERICSSON_JONATHAN,	8,	127,	1,	0,	0,	19,	24,	29,	33.3,	0.0,	1.41,	2.82,	4.05,	89.29,	2.85,	1.90,	60.0,	2.61,	2.60,	42.3,	18.0,	39.6,	-1;
ERIKSSON_ANDERS,	61,	1267,	1,	17,	5,	50,	84,	124,	1.7,	29.3,	2.75,	3.36,	9.25,	88.17,	3.09,	2.31,	57.2,	2.63,	2.52,	34.6,	29.0,	36.5,	-1;
ERSKINE_JOHN,	50,	784,	2,	7,	4,	46,	62,	105,	6.9,	24.1,	2.22,	2.83,	8.73,	91.02,	2.85,	2.57,	52.6,	2.64,	2.68,	31.2,	31.3,	37.6,	-1;
EXELBY_GARNET,	79,	1492,	2,	5,	2,	37,	53,	92,	4.8,	11.9,	1.69,	3.58,	8.16,	89.89,	2.63,	2.78,	48.6,	2.71,	2.61,	22.6,	40.9,	36.5,	-1;
FATA_DREW,	5,	87,	0,	1,	0,	4,	7,	10,	0.0,	100.0,	0.69,	2.06,	3.57,	95.38,	2.24,	2.65,	45.8,	2.56,	2.40,	33.8,	31.1,	35.1,	-1;
