ABDELKADER_JUSTIN,	74,	910:13,	7,	12,	8,	129,	187,	226,	18.9,	32.4,	2.44,	2.24,	8.41,	92.15,	2.82,	2.92,	49.1,	2.62,	2.53,	36.0,	30.8,	33.2,	-1;
ADAM_LUKE,	19,	213:00,	3,	1,	0,	31,	42,	50,	42.9,	14.3,	1.97,	2.82,	5.93,	90.99,	2.79,	2.62,	51.6,	2.64,	2.64,	38.5,	26.3,	35.2,	-1;
ADAMS_CRAIG,	80,	974:56,	4,	11,	5,	90,	111,	138,	16.0,	44.0,	1.54,	3.38,	7.00,	89.46,	2.73,	2.09,	56.6,	2.70,	2.60,	24.2,	45.4,	30.4,	-1;
ALFREDSSON_DANIEL,	54,	1040:54,	14,	17,	9,	96,	136,	187,	27.5,	33.3,	2.94,	3.57,	10.20,	87.89,	2.31,	2.86,	44.7,	2.82,	2.58,	37.8,	28.3,	33.9,	-1;
ANISIMOV_ARTEM,	82,	1328:02,	18,	26,	14,	190,	255,	335,	28.1,	40.6,	2.89,	2.30,	9.33,	91.51,	2.80,	2.66,	51.2,	2.76,	2.60,	34.3,	29.3,	36.4,	-1;
ANTROPOV_NIK,	76,	1189:24,	16,	25,	16,	105,	151,	183,	26.7,	41.7,	3.03,	2.72,	9.60,	90.24,	2.52,	3.06,	45.2,	2.63,	2.60,	42.3,	25.1,	32.6,	-1;
ARMSTRONG_COLBY,	50,	806:14,	8,	15,	9,	69,	97,	124,	25.0,	46.9,	2.38,	3.35,	9.47,	89.44,	2.46,	2.83,	46.5,	2.73,	2.57,	27.6,	38.5,	33.9,	-1;
ARNOTT_JASON,	73,	1133:16,	17,	14,	10,	169,	225,	288,	34.7,	28.6,	2.59,	2.06,	7.69,	91.35,	2.17,	2.43,	47.2,	2.66,	2.63,	42.3,	25.7,	32.1,	-1;
ASHAM_ARRON,	44,	420:17,	5,	6,	4,	60,	66,	81,	33.3,	40.0,	2.14,	2.14,	7.46,	92.06,	2.56,	2.42,	51.4,	2.55,	2.61,	34.8,	24.9,	40.3,	-1;
AVERY_SEAN,	76,	853:34,	3,	21,	12,	137,	186,	227,	10.7,	75.0,	1.97,	2.18,	6.44,	92.69,	2.71,	2.24,	54.8,	2.57,	2.65,	32.3,	26.9,	40.8,	-1;
