ANDERSON_CRAIG,	51,	2860:07,	2.52,	2.83,	47.1,	91.25,	2.69,	2.51,	-1;
AULD_ALEX,	16,	748:35,	2.88,	2.56,	52.9,	91.62,	2.62,	2.66,	-1;
BACKSTROM_NIKLAS,	51,	2977:30,	2.40,	2.64,	47.6,	91.63,	2.82,	2.65,	-1;
BERNIER_JONATHAN,	25,	1378:15,	2.79,	2.48,	52.9,	91.26,	2.68,	2.58,	-1;
BIRON_MARTIN,	17,	927:30,	2.52,	2.13,	54.2,	92.25,	2.70,	2.73,	-1;
BISHOP_BEN,	7,	368:49,	2.93,	2.77,	51.4,	89.88,	2.76,	2.90,	-1;
BOBROVSKY_SERGEI,	54,	2997:24,	3.26,	2.52,	56.4,	91.69,	2.69,	2.59,	-1;
BOUCHER_BRIAN,	34,	1884:34,	2.61,	2.42,	51.9,	91.57,	2.61,	2.52,	-1;
BRODEUR_MARTIN,	56,	3116:06,	2.00,	2.41,	45.4,	90.47,	2.69,	2.63,	-1;
BRYZGALOV_ILYA,	68,	4054:52,	2.72,	2.49,	52.3,	92.08,	2.76,	2.59,	-1;
BUDAJ_PETER,	45,	2438:22,	2.73,	3.17,	46.2,	89.53,	2.76,	2.62,	-1;
CLEMMENSEN_SCOTT,	31,	1696:04,	2.02,	2.58,	43.9,	91.24,	2.69,	2.61,	-1;
CONKLIN_TY,	25,	1285:27,	3.41,	3.22,	51.4,	88.16,	2.76,	2.63,	-1;
CRAWFORD_COREY,	57,	3331:31,	2.97,	2.31,	56.3,	91.69,	2.77,	2.63,	-1;
DIPIETRO_RICK,	26,	1533:12,	2.54,	3.44,	42.5,	88.59,	2.72,	2.54,	-1;
DUBNYK_DEVAN,	35,	2056:04,	2.42,	2.71,	47.2,	91.55,	2.77,	2.58,	-1;
ELLIOTT_BRIAN,	55,	2983:08,	2.17,	3.32,	39.6,	89.35,	2.71,	2.65,	-1;
ELLIS_DAN,	44,	2406:55,	2.92,	2.74,	51.5,	89.87,	2.65,	2.61,	-1;
EMERY_RAY,	10,	527:18,	2.73,	2.28,	54.5,	92.65,	2.88,	2.60,	-1;
ENROTH_JHONAS,	14,	769:24,	2.73,	2.73,	50.0,	90.72,	2.65,	2.51,	-1;
FLEURY_MARC-ANDRE,	65,	3695:10,	2.63,	2.32,	53.1,	91.78,	2.73,	2.61,	-1;
GARON_MATHIEU,	36,	1938:00,	2.14,	2.72,	44.0,	90.07,	2.78,	2.59,	-1;
GERBER_MARTIN,	3,	185:00,	2.60,	1.30,	66.7,	95.79,	2.69,	2.77,	-1;
GIGUERE_JEAN-SEBASTIEN,	33,	1633:01,	2.28,	2.79,	44.9,	90.19,	2.67,	2.62,	-1;
GUSTAVSSON_JONAS,	23,	1242:07,	2.08,	3.29,	38.7,	89.01,	2.63,	2.53,	-1;
HALAK_JAROSLAV,	57,	3294:22,	2.55,	2.48,	50.7,	91.04,	2.75,	2.59,	-1;
HEDBERG_JOHAN,	34,	1717:28,	2.13,	2.38,	47.3,	91.25,	2.81,	2.57,	-1;
HILLER_JONAS,	49,	2671:32,	2.58,	2.56,	50.2,	92.36,	2.71,	2.61,	-1;
HOLTBY_BRADEN,	14,	735:59,	2.61,	1.71,	60.4,	93.66,	2.70,	2.65,	-1;
HOWARD_JIMMY,	63,	3615:16,	3.09,	2.77,	52.7,	90.86,	2.74,	2.57,	-1;
JOHNSON_BRENT,	23,	1296:42,	2.82,	2.13,	57.0,	92.36,	2.62,	2.64,	-1;
KARLSSON_HENRIK,	17,	834:51,	3.31,	2.44,	57.5,	91.19,	2.65,	2.75,	-1;
KHABIBULIN_NIKOLAI,	47,	2681:05,	2.08,	3.42,	37.8,	88.90,	2.72,	2.66,	-1;
KHUDOBIN_ANTON,	4,	188:44,	2.86,	1.59,	64.3,	94.19,	2.78,	2.71,	-1;
KIPRUSOFF_MIIKKA,	71,	4155:39,	2.76,	2.63,	51.2,	90.58,	2.75,	2.61,	-1;
KOSKINEN_MIKKO,	4,	207:51,	4.91,	4.33,	53.1,	87.29,	2.69,	2.48,	-1;
LABARBERA_JASON,	17,	882:38,	2.52,	3.26,	43.5,	90.91,	2.78,	2.65,	-1;
LALIME_PATRICK,	7,	365:25,	1.97,	2.96,	40.0,	88.96,	2.70,	2.67,	-1;
LAWSON_NATHAN,	10,	384:19,	2.03,	4.06,	33.3,	89.30,	2.71,	2.64,	-1;
LECLAIRE_PASCAL,	14,	763:03,	1.73,	2.83,	37.9,	90.79,	2.71,	2.51,	-1;
LEHNER_ROBIN,	8,	340:52,	2.64,	3.52,	42.9,	88.76,	2.71,	2.61,	-1;
LEHTONEN_KARI,	69,	4089:11,	2.67,	2.57,	51.0,	91.38,	2.75,	2.62,	-1;
LINDBACK_ANDERS,	22,	1131:03,	3.18,	2.60,	55.0,	91.49,	2.79,	2.58,	-1;
LUNDQVIST_HENRIK,	68,	3966:40,	2.74,	2.28,	54.5,	92.24,	2.71,	2.58,	-1;
LUONGO_ROBERTO,	60,	3579:59,	2.93,	2.10,	58.3,	92.84,	2.75,	2.63,	-1;
MACDONALD_JOEY,	15,	720:51,	2.58,	2.50,	50.8,	91.91,	2.72,	2.61,	-1;
MASON_CHRIS,	33,	1681:41,	2.68,	3.39,	44.1,	89.22,	2.63,	2.58,	-1;
MASON_STEVE,	54,	3026:30,	2.66,	3.03,	46.7,	90.07,	2.76,	2.60,	-1;
MCELHINNEY_CURTIS,	28,	1394:52,	2.71,	3.18,	46.0,	89.74,	2.78,	2.58,	-1;
MILLER_RYAN,	66,	3829:18,	2.98,	2.58,	53.5,	91.59,	2.69,	2.60,	-1;
MONTOYA_AL,	21,	1153:48,	3.17,	2.39,	57.0,	92.14,	2.67,	2.52,	-1;
NEUVIRTH_MICHAL,	47,	2624:29,	2.83,	2.49,	53.2,	91.29,	2.68,	2.65,	-1;
NIEMI_ANTTI,	60,	3523:54,	2.86,	2.38,	54.5,	91.96,	2.78,	2.53,	-1;
NIITTYMAKI_ANTERO,	24,	1414:28,	2.84,	2.67,	51.5,	89.74,	2.65,	2.79,	-1;
OSGOOD_CHRIS,	11,	628:40,	3.25,	2.77,	54.0,	90.27,	2.57,	2.65,	-1;
PAVELEC_ONDREJ,	58,	3223:11,	2.46,	2.70,	47.6,	91.47,	2.72,	2.57,	-1;
PETERS_JUSTIN,	12,	648:17,	2.41,	3.98,	37.7,	87.43,	2.70,	2.49,	-1;
POULIN_KEVIN,	10,	491:19,	3.05,	2.44,	55.6,	92.37,	2.57,	2.70,	-1;
PRICE_CAREY,	72,	4206:09,	2.45,	2.33,	51.3,	92.39,	2.75,	2.59,	-1;
QUICK_JONATHAN,	61,	3590:34,	2.39,	2.24,	51.6,	91.78,	2.83,	2.67,	-1;
RASK_TUUKKA,	29,	1594:23,	2.56,	2.63,	49.3,	91.91,	2.65,	2.63,	-1;
RAYCROFT_ANDREW,	19,	847:10,	2.48,	2.83,	46.7,	91.03,	2.82,	2.56,	-1;
REIMER_JAMES,	37,	2080:09,	3.00,	2.60,	53.6,	92.06,	2.75,	2.58,	-1;
RINNE_PEKKA,	64,	3789:12,	2.38,	2.11,	53.0,	93.01,	2.80,	2.69,	-1;
ROLOSON_DWAYNE,	54,	3198:35,	2.44,	2.55,	48.9,	91.46,	2.67,	2.59,	-1;
SCHNEIDER_CORY,	25,	1371:47,	3.41,	2.23,	60.5,	92.85,	2.71,	2.72,	-1;
SMITH_MIKE,	22,	1202:29,	2.89,	2.89,	50.0,	89.93,	2.76,	2.57,	-1;
THEODORE_JOSE,	32,	1792:54,	2.34,	2.71,	46.4,	91.59,	2.75,	2.61,	-1;
THOMAS_TIM,	57,	3363:58,	3.09,	1.98,	60.9,	93.86,	2.72,	2.58,	-1;
TURCO_MARTY,	30,	1629:09,	3.02,	3.02,	50.0,	89.72,	2.70,	2.60,	-1;
VARLAMOV_SEMYON,	27,	1560:03,	2.08,	2.23,	48.2,	92.35,	2.80,	2.59,	-1;
VOKOUN_TOMAS,	57,	3223:25,	2.33,	2.55,	47.7,	92.18,	2.75,	2.60,	-1;
WARD_CAM,	73,	4238:32,	2.76,	2.55,	52.0,	92.29,	2.66,	2.59,	-1;
