ALLEN_JAKE,	37,	2076:48,	2.72,	2.28,	54.3,	91.31,	2.59,	2.60,	-1;
ANDERSEN_FREDERIK,	54,	3078:00,	2.71,	2.34,	53.7,	91.55,	2.63,	2.62,	-1;
ANDERSON_CRAIG,	35,	2092:31,	2.61,	2.50,	51.1,	92.31,	2.61,	2.54,	-1;
BACHMAN_RICHARD,	6,	316:43,	3.79,	2.84,	57.1,	91.07,	2.63,	2.52,	-1;
BACKSTROM_NIKLAS,	19,	1004:53,	2.21,	3.04,	42.0,	88.72,	2.63,	2.45,	-1;
BERNIER_JONATHAN,	58,	3177:09,	2.49,	2.87,	46.5,	91.24,	2.65,	2.51,	-1;
BERRA_RETO,	19,	728:27,	2.47,	2.72,	47.6,	91.45,	2.60,	2.59,	-1;
BISHOP_BEN,	62,	3499:00,	3.21,	2.28,	58.4,	91.71,	2.64,	2.51,	-1;
BOBROVSKY_SERGEI,	51,	2989:12,	2.73,	2.69,	50.4,	91.75,	2.65,	2.51,	1;
BRODEUR_MARTIN,	7,	355:43,	3.88,	2.87,	57.5,	89.94,	2.68,	2.46,	-1;
BRYZGALOV_ILYA,	8,	329:29,	2.55,	4.19,	37.8,	84.67,	2.68,	2.43,	-1;
CRAWFORD_COREY,	57,	3311:20,	2.65,	2.28,	53.7,	92.39,	2.68,	2.59,	1;
DARLING_SCOTT,	14,	832:31,	2.02,	1.95,	50.9,	93.56,	2.65,	2.50,	-1;
DOMINGUE_LOUIS,	7,	307:45,	1.75,	2.73,	39.1,	91.14,	2.68,	2.45,	-1;
DUBNYK_DEVAN,	58,	3303:12,	2.74,	2.09,	56.8,	92.88,	2.67,	2.59,	-1;
ELLIOTT_BRIAN,	46,	2545:48,	2.83,	2.24,	55.8,	91.73,	2.68,	2.54,	1;
ELLIS_DAN,	8,	486:28,	2.47,	2.34,	51.3,	91.40,	2.72,	2.50,	-1;
EMERY_RAY,	31,	1569:31,	2.75,	3.06,	47.4,	89.45,	2.62,	2.52,	-1;
ENROTH_JHONAS,	50,	2833:36,	1.99,	3.07,	39.3,	90.36,	2.70,	2.47,	-1;
FASTH_VIKTOR,	26,	1336:29,	1.84,	3.41,	35.0,	88.84,	2.63,	2.58,	-1;
FLEURY_MARC-ANDRE,	64,	3774:59,	2.64,	2.32,	53.2,	92.01,	2.64,	2.54,	1;
FORSBERG_ANTON,	5,	255:43,	1.64,	4.69,	25.9,	86.58,	2.24,	2.77,	-1;
GIBSON_JOHN,	23,	1319:55,	2.64,	2.59,	50.4,	91.51,	2.70,	2.45,	-1;
GREISS_THOMAS,	20,	1154:37,	2.44,	2.55,	49.0,	90.98,	2.69,	2.54,	-1;
GUSTAVSSON_JONAS,	7,	351:12,	2.05,	2.56,	44.4,	91.07,	2.74,	2.58,	-1;
HACKETT_MATT,	5,	250:15,	2.16,	4.32,	33.3,	88.39,	2.49,	2.62,	-1;
HALAK_JAROSLAV,	59,	3529:57,	2.98,	2.40,	55.4,	91.53,	2.67,	2.51,	1;
HAMMOND_ANDREW,	24,	1407:38,	2.90,	1.79,	61.8,	94.04,	2.62,	2.50,	-1;
HILLER_JONAS,	52,	2850:53,	2.99,	2.38,	55.7,	91.74,	2.64,	2.55,	-1;
HOLTBY_BRADEN,	73,	4227:29,	2.81,	2.21,	55.9,	92.33,	2.65,	2.54,	-1;
HOWARD_JIMMY,	53,	2965:37,	2.65,	2.45,	52.0,	91.03,	2.67,	2.55,	1;
HUTCHINSON_MICHAEL,	38,	2118:22,	3.12,	2.41,	56.4,	91.24,	2.69,	2.54,	-1;
HUTTON_CARTER,	18,	1009:51,	2.38,	2.61,	47.6,	90.22,	2.63,	2.50,	-1;
JOHNSON_CHAD,	19,	1052:49,	2.85,	3.08,	48.1,	88.93,	2.62,	2.53,	-1;
JONES_MARTIN,	15,	775:22,	2.40,	2.24,	51.7,	90.55,	2.62,	2.58,	-1;
KHUDOBIN_ANTON,	34,	1900:21,	1.80,	2.68,	40.1,	90.15,	2.72,	2.48,	-1;
KINKAID_KEITH,	19,	905:26,	2.39,	2.65,	47.4,	91.23,	2.68,	2.45,	-1;
KUEMPER_DARCY,	31,	1548:43,	2.83,	2.60,	52.1,	90.60,	2.71,	2.61,	-1;
LABARBERA_JASON,	5,	207:28,	3.47,	2.60,	57.1,	90.91,	2.73,	2.57,	-1;
LACK_EDDIE,	41,	2303:50,	2.60,	2.45,	51.5,	92.09,	2.66,	2.54,	-1;
LEHNER_ROBIN,	25,	1466:35,	2.70,	3.03,	47.1,	90.45,	2.62,	2.63,	-1;
LEHTONEN_KARI,	65,	3697:41,	3.18,	2.92,	52.1,	90.39,	2.67,	2.49,	-1;
LINDBACK_ANDERS,	26,	1407:58,	2.34,	3.11,	43.0,	90.84,	2.61,	2.60,	-1;
LUNDQVIST_HENRIK,	46,	2742:36,	3.06,	2.25,	57.6,	92.24,	2.68,	2.52,	-1;
LUONGO_ROBERTO,	61,	3523:11,	2.16,	2.35,	47.9,	92.06,	2.62,	2.57,	1;
MASON_STEVE,	51,	2880:23,	2.33,	2.25,	50.9,	92.73,	2.66,	2.56,	-1;
MCELHINNEY_CURTIS,	32,	1710:01,	2.70,	2.88,	48.4,	91.35,	2.64,	2.46,	-1;
MILLER_RYAN,	45,	2541:28,	3.00,	2.50,	54.5,	91.14,	2.64,	2.58,	-1;
MONTOYA_AL,	20,	956:56,	2.76,	2.95,	48.4,	89.37,	2.73,	2.53,	-1;
MRAZEK_PETR,	29,	1585:02,	2.88,	2.38,	54.7,	91.79,	2.62,	2.53,	-1;
NABOKOV_EVGENI,	11,	553:26,	2.38,	3.14,	43.1,	88.16,	2.42,	2.62,	-1;
NEUVIRTH_MICHAL,	32,	1849:45,	1.85,	2.95,	38.5,	91.46,	2.68,	2.57,	-1;
NIEMI_ANTTI,	61,	3567:54,	2.86,	2.61,	52.3,	91.37,	2.66,	2.53,	-1;
ORTIO_JONI,	6,	333:17,	2.16,	2.52,	46.2,	90.85,	2.54,	2.64,	-1;
PAVELEC_ONDREJ,	50,	2837:51,	2.35,	2.28,	50.7,	92.02,	2.67,	2.57,	-1;
PETERS_JUSTIN,	12,	646:59,	2.97,	3.25,	47.8,	88.10,	2.66,	2.62,	-1;
PICKARD_CALVIN,	16,	895:06,	2.41,	2.35,	50.7,	93.15,	2.63,	2.48,	-1;
PRICE_CAREY,	66,	3976:33,	2.66,	1.96,	57.5,	93.34,	2.70,	2.54,	1;
QUICK_JONATHAN,	72,	4180:07,	2.61,	2.23,	54.0,	91.81,	2.68,	2.59,	-1;
RAANTA_ANTTI,	14,	792:11,	2.95,	1.82,	61.9,	93.81,	2.60,	2.61,	-1;
