ALBERTS_ANDREW,	10,	73:51,	0,	0,	0,	5,	7,	13,	0.0,	0.0,	1.62,	1.62,	8.33,	95.24,	2.34,	2.44,	48.9,	2.49,	2.63,	25.7,	44.6,	29.7,	-1;
ALLEN_BRYAN,	68,	1193:25,	0,	10,	0,	60,	95,	139,	0.0,	17.9,	2.81,	3.02,	10.11,	90.70,	3.26,	2.23,	59.4,	2.59,	2.52,	29.4,	37.7,	32.9,	-1;
ALZNER_KARL,	82,	1683:53,	2,	17,	5,	95,	143,	201,	4.0,	34.0,	1.78,	3.03,	7.42,	91.80,	3.75,	2.55,	59.6,	2.80,	2.56,	24.8,	42.4,	32.7,	-1;
AULIE_KEITH,	15,	147:21,	0,	1,	0,	6,	8,	18,	0.0,	33.3,	1.22,	2.44,	5.17,	91.55,	2.79,	2.40,	53.8,	2.54,	2.55,	25.4,	42.1,	32.5,	-1;
BALLARD_KEITH,	45,	612:27,	2,	7,	4,	29,	44,	78,	7.7,	26.9,	2.55,	3.23,	10.36,	88.81,	2.18,	2.10,	51.0,	2.56,	2.52,	28.4,	37.8,	33.8,	-1;
BARBERIO_MARK,	49,	714:15,	5,	5,	0,	54,	75,	121,	15.2,	15.2,	2.77,	2.02,	8.82,	92.77,	2.64,	2.51,	51.2,	2.62,	2.56,	36.6,	32.4,	31.0,	-1;
BARRIE_TYSON,	64,	1186:41,	13,	25,	11,	101,	141,	207,	16.7,	32.1,	3.94,	2.07,	11.80,	92.53,	2.69,	2.66,	50.3,	2.55,	2.53,	45.2,	25.7,	29.1,	-1;
BARTKOWSKI_MATT,	64,	1250:19,	0,	18,	7,	91,	130,	208,	0.0,	31.6,	2.73,	2.25,	9.24,	92.92,	3.05,	1.99,	60.5,	2.54,	2.60,	31.8,	32.6,	35.6,	-1;
BARTLEY_VICTOR,	50,	768:13,	1,	5,	3,	21,	31,	50,	4.0,	20.0,	1.95,	2.89,	7.84,	90.95,	2.52,	2.71,	48.2,	2.56,	2.54,	29.3,	39.5,	31.2,	-1;
BEAUCHEMIN_FRANCOIS,	70,	1616:57,	4,	13,	6,	100,	148,	225,	4.2,	13.5,	3.56,	3.52,	11.87,	88.48,	3.06,	1.92,	61.5,	2.65,	2.55,	29.6,	38.2,	32.2,	-1;
BEAULIEU_NATHAN,	17,	224:53,	0,	2,	1,	15,	23,	43,	0.0,	22.2,	2.40,	0.80,	8.49,	97.48,	2.34,	2.45,	48.9,	2.53,	2.60,	39.1,	32.9,	28.0,	-1;
