NEUVIRTH_MICHAL,	5,	219:53,	3.27,	2.73,	54.5,	90.10,	2.88,	2.91,	-1;
NIITTYMAKI_ANTERO,	32,	1804:15,	3.16,	2.76,	53.4,	91.23,	2.89,	2.67,	-1;
NORRENA_FREDRIK,	8,	323:11,	2.41,	3.16,	43.3,	87.22,	2.75,	2.78,	-1;
OSGOOD_CHRIS,	46,	2662:43,	3.27,	3.06,	51.6,	88.73,	2.75,	2.68,	-1;
PAVELEC_ONDREJ,	12,	599:25,	2.70,	3.60,	42.9,	88.04,	2.83,	2.71,	-1;
POGGE_JUSTIN,	7,	371:42,	2.91,	4.36,	40.0,	84.39,	2.86,	2.59,	-1;
PRICE_CAREY,	52,	3005:36,	2.69,	2.83,	48.7,	90.54,	2.90,	2.73,	1;
QUICK_JONATHAN,	44,	2484:54,	2.39,	2.49,	49.0,	91.38,	2.88,	2.64,	-1;
RAMO_KARRI,	24,	1306:54,	2.39,	3.63,	39.7,	89.49,	2.94,	2.68,	-1;
RAYCROFT_ANDREW,	31,	1717:26,	2.48,	3.11,	44.4,	89.29,	2.87,	2.68,	-1;
RINNE_PEKKA,	52,	2979:12,	2.54,	2.40,	51.4,	91.67,	2.88,	2.69,	-1;
ROLOSON_DWAYNE,	63,	3591:51,	2.74,	2.77,	49.7,	91.48,	2.82,	2.65,	-1;
SABOURIN_DANY,	19,	989:26,	2.30,	2.85,	44.7,	89.85,	2.89,	2.61,	-1;
SANFORD_CURTIS,	19,	972:35,	2.47,	2.59,	48.8,	90.62,	2.96,	2.62,	-1;
SCHNEIDER_CORY,	8,	355:24,	2.70,	3.38,	44.4,	87.65,	2.76,	2.65,	-1;
SMITH_MIKE,	41,	2466:21,	2.41,	2.63,	47.8,	91.56,	2.84,	2.67,	-1;
STEPHAN_TOBIAS,	10,	437:52,	2.06,	3.70,	35.7,	87.02,	2.79,	2.58,	-1;
TELLQVIST_MIKAEL,	21,	1007:29,	2.74,	2.62,	51.1,	91.52,	2.83,	2.74,	-1;
THEODORE_JOSE,	57,	3263:27,	3.03,	2.85,	51.6,	90.10,	2.83,	2.71,	-1;
THOMAS_TIM,	54,	3257:20,	3.08,	2.10,	59.4,	93.27,	2.90,	2.72,	1;
TOSKALA_VESA,	53,	3016:25,	2.77,	3.30,	45.6,	88.90,	2.83,	2.67,	-1;
TURCO_MARTY,	74,	4307:15,	2.70,	2.83,	48.9,	89.76,	2.85,	2.68,	-1;
VALIQUETTE_STEVE,	15,	803:05,	2.02,	2.76,	42.2,	90.95,	2.93,	2.84,	-1;
VARLAMOV_SEMYON,	6,	328:33,	3.65,	2.37,	60.6,	91.82,	2.85,	2.85,	-1;
VOKOUN_TOMAS,	59,	3319:07,	2.51,	2.50,	50.2,	92.56,	2.90,	2.79,	-1;
WARD_CAM,	68,	3908:03,	2.92,	2.41,	54.8,	91.63,	2.89,	2.77,	-1;
WEEKES_KEVIN,	16,	789:37,	2.66,	2.43,	52.2,	91.94,	2.78,	2.90,	-1;
