ALBERTS_ANDREW,	24,	364:18,	0,	1,	1,	15,	25,	40,	0.0,	16.7,	0.99,	2.63,	4.35,	91.49,	2.43,	2.31,	51.2,	2.45,	2.49,	25.0,	40.8,	34.2,	-1;
ALLEN_BRYAN,	41,	768:17,	0,	6,	1,	25,	54,	90,	0.0,	24.0,	1.95,	2.27,	8.68,	92.43,	2.96,	2.19,	57.5,	2.54,	2.45,	28.2,	35.7,	36.1,	-1;
ALZNER_KARL,	48,	1005:52,	1,	4,	1,	39,	68,	98,	3.1,	12.5,	1.91,	3.28,	7.80,	90.65,	4.21,	2.10,	66.7,	2.75,	2.68,	26.6,	40.7,	32.7,	-1;
AUCOIN_ADRIAN,	36,	588:00,	0,	4,	2,	26,	38,	65,	0.0,	30.8,	1.33,	2.35,	6.19,	92.43,	2.64,	2.23,	54.2,	2.52,	2.45,	31.3,	36.4,	32.3,	-1;
AULIE_KEITH,	45,	576:51,	2,	5,	3,	37,	49,	76,	8.7,	21.7,	2.39,	2.70,	8.65,	91.64,	3.05,	2.99,	50.4,	2.58,	2.65,	27.5,	29.4,	43.1,	-1;
BABCHUK_ANTON,	7,	82:57,	0,	1,	0,	5,	8,	13,	0.0,	25.0,	2.89,	2.89,	11.76,	91.67,	2.26,	3.04,	42.7,	2.40,	2.46,	33.3,	32.2,	34.4,	-1;
BALLARD_KEITH,	36,	556:55,	0,	2,	1,	35,	46,	70,	0.0,	16.7,	1.29,	1.94,	4.69,	93.05,	2.45,	2.50,	49.5,	2.47,	2.52,	32.3,	33.5,	34.1,	-1;
BARKER_CAM,	14,	198:47,	0,	2,	1,	19,	26,	36,	0.0,	33.3,	1.81,	2.72,	5.94,	91.00,	2.37,	2.23,	51.5,	2.43,	2.51,	42.1,	32.2,	25.7,	-1;
BARRIE_TYSON,	32,	690:37,	2,	11,	5,	58,	95,	143,	8.3,	45.8,	2.08,	2.69,	7.00,	91.14,	2.51,	3.07,	45.0,	2.52,	2.45,	37.2,	31.0,	31.8,	-1;
BARTKOWSKI_MATT,	11,	148:19,	0,	2,	1,	9,	17,	29,	0.0,	40.0,	2.02,	2.02,	6.58,	93.24,	2.59,	2.22,	53.8,	2.44,	2.60,	41.4,	27.6,	30.9,	-1;
BARTLEY_VICTOR,	24,	469:02,	0,	7,	4,	19,	34,	52,	0.0,	46.7,	1.92,	2.17,	8.47,	92.31,	2.15,	2.83,	43.2,	2.60,	2.50,	27.5,	34.5,	38.0,	-1;
BEAUCHEMIN_FRANCOIS,	48,	1125:59,	6,	18,	5,	74,	101,	148,	10.0,	30.0,	3.20,	2.40,	10.81,	91.57,	2.94,	2.46,	54.5,	2.61,	2.45,	31.4,	38.7,	29.9,	-1;
BEAULIEU_NATHAN,	6,	92:13,	0,	2,	2,	8,	10,	19,	0.0,	25.0,	5.21,	1.95,	14.04,	92.68,	3.17,	2.47,	56.2,	2.49,	2.54,	37.6,	27.1,	35.3,	-1;
BELLEMORE_BRETT,	8,	110:07,	0,	2,	1,	3,	10,	18,	0.0,	100.0,	1.09,	2.72,	4.44,	90.38,	2.54,	3.36,	43.0,	2.80,	2.41,	29.9,	41.9,	28.2,	-1;
BENN_JORDIE,	26,	450:13,	1,	5,	3,	31,	49,	79,	6.7,	33.3,	2.00,	3.33,	7.46,	89.22,	2.84,	2.69,	51.3,	2.53,	2.37,	30.8,	36.0,	33.2,	-1;
BENOIT_ANDRE,	33,	541:36,	3,	7,	2,	50,	72,	119,	13.6,	31.8,	2.44,	2.22,	6.77,	91.70,	2.25,	2.04,	52.5,	2.62,	2.62,	39.3,	29.1,	31.7,	-1;
BERGERON_MARC-ANDRE,	25,	344:08,	1,	8,	3,	43,	62,	96,	5.0,	40.0,	3.49,	2.62,	8.55,	88.97,	2.93,	3.16,	48.1,	2.60,	2.54,	57.4,	14.6,	28.0,	-1;
BICKEL_STU,	16,	88:16,	0,	0,	0,	2,	3,	6,	0.0,	0.0,	0.68,	2.04,	5.00,	91.18,	1.71,	2.19,	43.9,	2.50,	2.55,	22.1,	33.8,	44.1,	-1;
BIEKSA_KEVIN,	36,	789:52,	6,	6,	1,	77,	112,	162,	14.6,	14.6,	3.11,	2.58,	11.36,	91.98,	2.36,	2.27,	51.0,	2.59,	2.56,	31.5,	36.7,	31.9,	-1;
BLUM_JONATHON,	35,	500:29,	1,	6,	3,	26,	35,	55,	6.2,	37.5,	1.92,	2.16,	7.77,	91.67,	2.10,	2.73,	43.5,	2.42,	2.39,	32.8,	35.4,	31.8,	-1;
BOGOSIAN_ZACH,	33,	763:04,	5,	9,	2,	85,	123,	172,	14.3,	25.7,	2.75,	3.38,	9.54,	89.17,	2.60,	2.72,	48.9,	2.84,	2.67,	30.0,	35.6,	34.4,	-1;
BOROWIECKI_MARK,	6,	77:59,	0,	0,	0,	1,	1,	4,	0.0,	0.0,	1.54,	1.54,	6.45,	94.44,	2.37,	1.99,	54.4,	2.98,	2.52,	28.2,	23.1,	48.7,	-1;
BORTUZZO_ROBERT,	15,	199:22,	2,	2,	1,	10,	18,	25,	20.0,	20.0,	3.01,	2.11,	11.24,	92.71,	3.13,	2.41,	56.5,	2.45,	2.55,	33.0,	31.9,	35.1,	-1;
BOUILLON_FRANCIS,	48,	867:37,	1,	8,	4,	46,	59,	101,	2.3,	18.2,	3.04,	2.56,	9.61,	90.80,	3.18,	2.34,	57.6,	2.57,	2.59,	31.8,	30.4,	37.7,	-1;
BOUWMEESTER_JAY,	47,	1157:48,	7,	15,	11,	79,	118,	155,	13.5,	28.8,	2.69,	3.42,	11.02,	88.19,	2.93,	2.78,	51.3,	2.68,	2.43,	26.3,	40.9,	32.8,	-1;
BOYCHUK_JOHNNY,	44,	897:22,	1,	5,	3,	74,	105,	151,	2.9,	14.7,	2.27,	2.47,	7.66,	92.14,	2.81,	2.03,	58.1,	2.81,	2.65,	29.0,	37.4,	33.6,	-1;
BOYLE_DAN,	46,	1048:42,	7,	13,	6,	97,	154,	235,	13.2,	24.5,	3.03,	1.95,	8.01,	92.02,	2.57,	2.29,	52.8,	2.58,	2.50,	40.9,	29.8,	29.3,	-1;
BRAUN_JUSTIN,	41,	770:51,	0,	7,	3,	48,	83,	139,	0.0,	33.3,	1.64,	2.41,	6.14,	91.58,	2.59,	2.19,	54.2,	2.54,	2.48,	33.7,	33.8,	32.5,	-1;
BRENNAN_TJ,	29,	483:58,	3,	7,	4,	42,	74,	107,	14.3,	33.3,	2.60,	2.98,	7.61,	90.32,	2.17,	3.16,	40.8,	2.49,	2.55,	47.2,	22.3,	30.5,	-1;
BREWER_ERIC,	48,	984:38,	4,	8,	5,	56,	80,	136,	8.9,	17.8,	2.74,	3.17,	10.98,	90.19,	3.20,	2.76,	53.7,	2.71,	2.65,	26.7,	37.9,	35.4,	-1;
BRODIE_TJ,	47,	950:11,	2,	12,	5,	44,	69,	107,	6.1,	36.4,	2.08,	2.34,	7.21,	91.04,	3.02,	3.47,	46.5,	2.53,	2.48,	35.6,	31.8,	32.6,	-1;
BRODIN_JONAS,	45,	1043:33,	2,	9,	3,	51,	68,	107,	5.4,	24.3,	2.13,	2.24,	7.86,	91.65,	3.11,	2.68,	53.7,	2.65,	2.49,	30.3,	37.0,	32.7,	-1;
BROOKBANK_SHELDON,	26,	331:30,	1,	0,	0,	25,	38,	52,	11.1,	0.0,	1.63,	1.99,	6.12,	92.81,	3.09,	1.79,	63.2,	2.31,	2.46,	35.8,	33.2,	30.9,	-1;
BUTLER_CHRIS,	44,	749:09,	1,	7,	3,	40,	53,	77,	3.8,	26.9,	2.08,	3.44,	8.64,	90.18,	2.56,	2.94,	46.5,	2.52,	2.42,	26.7,	39.4,	34.0,	-1;
BYFUGLIEN_DUSTIN,	43,	1049:20,	8,	20,	10,	142,	198,	275,	14.5,	36.4,	3.15,	2.75,	9.35,	90.44,	2.55,	3.01,	45.8,	2.75,	2.61,	39.1,	27.3,	33.6,	-1;
CAMPBELL_BRIAN,	48,	1268:00,	8,	19,	6,	70,	104,	144,	14.0,	33.3,	2.70,	3.22,	8.39,	87.99,	1.94,	3.64,	34.7,	2.82,	2.60,	42.9,	23.2,	33.9,	-1;
CARKNER_MATT,	22,	277:46,	0,	2,	2,	19,	30,	41,	0.0,	18.2,	2.38,	3.02,	7.53,	90.28,	2.82,	2.68,	51.2,	2.60,	2.54,	31.1,	30.3,	38.5,	-1;
CARLE_MATT,	48,	1139:54,	5,	17,	8,	66,	87,	133,	9.3,	31.5,	2.84,	2.63,	10.67,	91.35,	3.31,	3.18,	51.0,	2.73,	2.66,	31.0,	33.9,	35.1,	-1;
CARLSON_JOHN,	48,	1105:00,	6,	16,	6,	97,	138,	192,	10.5,	28.1,	3.10,	3.31,	11.42,	89.73,	3.01,	2.19,	57.9,	2.79,	2.64,	30.4,	37.2,	32.4,	-1;
CARSON_BRETT,	10,	109:17,	0,	1,	0,	8,	11,	13,	0.0,	33.3,	1.65,	2.20,	5.66,	91.84,	2.49,	3.15,	44.2,	2.42,	2.46,	39.6,	22.5,	37.8,	-1;
CHARA_ZDENO,	48,	1196:56,	7,	12,	10,	119,	173,	248,	13.0,	22.2,	2.71,	2.10,	8.28,	92.68,	2.79,	2.18,	56.2,	2.92,	2.64,	29.6,	38.5,	31.9,	-1;
CLARK_BRETT,	8,	112:32,	0,	1,	1,	6,	8,	18,	0.0,	50.0,	1.07,	6.93,	4.26,	75.93,	2.53,	2.29,	52.5,	2.48,	2.43,	44.0,	26.4,	29.7,	-1;
CLITSOME_GRANT,	44,	828:46,	4,	12,	7,	56,	79,	118,	9.5,	28.6,	3.04,	2.82,	10.22,	90.82,	2.46,	2.75,	47.2,	2.66,	2.67,	33.4,	30.7,	35.9,	-1;
COBURN_BRAYDON,	33,	746:20,	1,	4,	3,	38,	67,	102,	4.3,	17.4,	1.85,	3.54,	7.37,	88.51,	2.75,	2.53,	52.1,	2.82,	2.65,	21.2,	45.0,	33.9,	-1;
COLAIACOVO_CARLO,	6,	113:27,	0,	1,	1,	12,	17,	27,	0.0,	33.3,	1.59,	3.70,	4.48,	87.93,	2.59,	1.96,	56.9,	2.43,	2.42,	46.7,	25.2,	28.0,	-1;
COLE_IAN,	15,	266:11,	0,	1,	1,	10,	19,	30,	0.0,	16.7,	1.35,	2.25,	5.66,	88.76,	2.86,	2.42,	54.1,	2.68,	2.39,	30.1,	28.6,	41.3,	-1;
CORVO_JOE,	40,	749:47,	6,	11,	4,	71,	101,	148,	14.6,	26.8,	3.28,	2.88,	9.19,	90.48,	2.58,	3.38,	43.3,	2.78,	2.65,	39.9,	27.2,	32.9,	-1;
COWEN_JARED,	7,	142:01,	1,	0,	0,	8,	11,	21,	33.3,	0.0,	1.27,	1.27,	4.55,	95.24,	2.61,	1.92,	57.6,	3.05,	2.58,	36.4,	31.5,	32.2,	-1;
CUNDARI_MARK,	4,	79:05,	1,	2,	1,	8,	12,	17,	25.0,	50.0,	3.04,	3.04,	11.76,	88.89,	2.12,	2.83,	42.9,	2.51,	2.47,	29.0,	30.4,	40.6,	-1;
DALEY_TREVOR,	44,	942:08,	4,	9,	3,	58,	94,	147,	9.5,	21.4,	2.67,	3.06,	10.99,	90.42,	2.80,	2.70,	50.9,	2.65,	2.44,	33.4,	36.4,	30.2,	-1;
