BISSONNETTE_PAUL       40      230:23      3      2      1     25     36     45     37.5     25.0     2.08     2.60     7.48    90.65     2.22     2.34     48.6     2.48     2.66   39.5   24.4   36.0 -1
BITZ_BYRON       52      573:58      5      6      5     58     80     93     27.8     33.3     1.88     3.14     7.11    89.58     2.11     2.22     48.8     2.61     2.68   28.1   32.6   39.4 -1
BLAKE_JASON       82     1303:54     16     25     15    239    307    387     28.1     43.9     2.62     2.48     7.16    91.47     2.75     3.03     47.6     2.75     2.67   36.1   24.9   39.0 -1
BLUNDEN_MIKE       40      324:29      2      2      1     40     45     54     20.0     20.0     1.85     1.11     7.94    96.05     2.26     2.85     44.2     2.65     2.60   26.4   32.1   41.5 -1
BOCHENSKI_BRANDON       27      329:07      3      8      5     42     59     68     20.0     53.3     2.73     2.37     8.02    89.84     2.37     3.03     43.9     2.74     2.66   35.8   22.8   41.4 -1
BODIE_TROY       44      494:40      5      2      1     58     87    103     38.5     15.4     1.58     3.03     6.77    91.61     2.34     3.19     42.2     2.76     2.62   25.5   32.3   42.1 -1
BOEDKER_MIKKEL       14      122:01      1      2      0      7     12     18     25.0     50.0     1.97     0.98     7.55    95.65     2.56     2.38     51.8     2.63     2.62   50.6   10.1   39.2 -1
BOLDUC_ALEXANDRE       15      149:30      0      0      0     14     19     19      0.0      0.0     0.40     3.21     1.96    90.00     2.83     2.46     53.5     2.70     2.58   22.0   48.7   29.3 -1
BOLL_JARED       68      490:04      4      3      1     56     74     86     40.0     30.0     1.22     2.20     4.95    92.17     2.32     2.84     44.9     2.57     2.58   30.3   27.5   42.3 -1
BOLLAND_DAVE       39      677:09      6     10      6     53     65     86     18.2     30.3     2.92     2.39     9.91    91.35     3.20     2.38     57.4     2.84     2.61   32.9   33.5   33.5 -1
BONINO_NICK        9      128:00      1      1      1     14     18     21     16.7     16.7     2.81     1.41     8.45    95.31     3.16     2.90     52.1     2.65     2.84   44.8   24.1   31.0 -1
BOOGAARD_DEREK       57      350:36      0      4      1     26     36     44      0.0     50.0     1.37     3.42     6.20    88.17     2.35     2.75     46.1     2.55     2.62   28.0   30.8   41.2 -1
BOOTH_DAVID       28      507:41      8      8      2     95    133    162     32.0     32.0     2.96     2.13     8.36    92.97     2.71     2.70     50.1     2.80     2.65   42.1   25.5   32.4 -1
BOULTON_ERIC       62      424:40      2      6      4     39     47     60     13.3     40.0     2.12     2.12     8.52    92.92     2.36     3.12     43.1     2.57     2.63   29.7   36.5   33.8 -1
BOURQUE_CHRIS       21      201:10      0      3      2     21     29     38      0.0     60.0     1.49     2.68     4.95    90.62     2.94     2.71     52.0     2.53     2.65   39.7   22.4   37.8 -1
BOURQUE_RENE       73     1337:07     27     31     20    215    304    388     37.5     43.1     3.23     2.56    11.11    90.70     2.33     2.34     49.9     2.87     2.64   35.7   30.9   33.5 -1
BOWMAN_DRAYSON        9      108:13      2      0      0     17     24     34     50.0      0.0     2.22     2.22     6.78    93.44     2.63     2.92     47.4     2.58     2.63   41.1   21.1   37.9 -1
BOYCHUK_ZACH       31      333:21      3      6      4     37     54     74     20.0     40.0     2.70     2.34     8.93    92.12     2.51     3.02     45.4     2.72     2.63   33.0   25.3   41.8 -1
BOYD_DUSTIN       78      953:47     11     13      8    112    144    171     35.5     41.9     1.95     1.70     7.19    94.19     2.44     2.54     49.0     2.63     2.64   32.4   32.1   35.5 -1
BOYES_BRAD       82     1376:43     13     28     14    196    289    373     16.7     35.9     3.40     2.48     9.54    90.95     2.57     2.57     50.0     2.70     2.64   45.8   25.4   28.8 -1
BOYLE_BRIAN       71      598:05      4      2      2     73    106    126     23.5     11.8     1.71     2.71     7.42    91.74     2.37     2.47     48.9     2.66     2.59   20.7   37.7   41.6 -1
BOZAK_TYLER       37      711:35      8     19      7     51     65     93     21.6     51.4     3.12     3.12     9.54    88.40     2.62     2.93     47.2     2.69     2.63   42.7   23.9   33.4 -1
BRADLEY_MATT       77      849:19     10     14      9     98    133    193     32.3     45.2     2.19     2.33     8.29    92.29     2.90     3.66     44.2     2.67     2.65   28.1   31.2   40.8 -1
BRASHEAR_DONALD       36      225:05      0      1      0     18     23     30      0.0     50.0     0.53     2.93     2.44    91.27     2.48     2.48     50.0     2.48     2.67   28.1   24.0   47.9 -1
BRASSARD_DERICK       79     1180:25      9     27     21    125    155    227     14.8     44.3     3.10     3.10     9.76    88.64     2.72     2.77     49.5     2.64     2.61   45.1   18.6   36.3 -1
BRIERE_DANIEL       75     1243:34     25     27     16    192    248    317     30.9     33.3     3.91     2.46     9.46    91.33     2.48     2.77     47.2     2.70     2.64   45.0   22.1   32.9 -1
BRIND_AMOUR_ROD       80     1017:10      9     10      5     95    132    164     28.1     31.2     1.89     3.66     6.75    87.42     2.67     2.86     48.3     2.60     2.66   35.9   32.6   31.5 -1
BRODZIAK_KYLE       82     1257:19      9     23     18    140    195    244     20.0     51.1     2.15     3.01     9.00    90.51     2.48     2.74     47.5     2.81     2.61   21.8   46.6   31.6 -1
BROUWER_TROY       78     1276:58     22     18     10    115    161    200     33.3     27.3     3.10     2.16     9.72    91.39     3.20     2.51     56.1     2.79     2.62   34.9   30.1   35.0 -1
BROWN_DUSTIN       82     1578:51     24     32     24    248    358    442     28.9     38.6     3.15     2.36     9.96    90.96     2.83     2.57     52.4     2.77     2.64   43.4   22.6   34.0 -1
BROWN_MIKE       75      626:27      6      1      1     82    116    133     35.3      5.9     1.63     2.30     6.67    93.31     2.30     2.80     45.2     2.60     2.56   33.6   22.0   44.4 -1
BRULE_GILBERT       64      909:35     17     20     10    119    156    192     36.2     42.6     3.10     3.03    10.24    89.35     2.42     3.25     42.7     2.68     2.59   34.4   30.0   35.6 -1
BRUNETTE_ANDREW       82     1396:13     25     36     22    129    170    192     28.7     41.4     3.74     2.32    11.03    90.09     1.92     3.33     36.6     2.77     2.67   45.1   23.0   31.9 -1
BRUNNSTROM_FABIAN       44      469:24      2      9      6     38     51     65     13.3     60.0     1.92     2.04     7.28    92.49     2.47     2.80     46.9     2.60     2.62   34.3   25.0   40.7 -1
BURISH_ADAM       13      114:04      1      3      2      9     16     19     16.7     50.0     3.16     2.10     9.84    93.44     2.82     2.32     54.9     2.70     2.64   35.0   33.0   32.0 -1
BURNS_BRENT       47     1051:27      3     17      7    104    151    212      6.1     34.7     2.80     2.97     9.33    90.02     2.56     2.74     48.3     2.75     2.66   35.9   33.4   30.7 -1
BURROWS_ALEX       82     1464:36     35     32     20    209    271    325     37.2     34.0     3.85     2.62    12.53    91.36     3.81     2.56     59.8     2.80     2.67   35.2   31.8   33.0 -1
CALDER_KYLE       14      197:39      0      2      2     20     28     30      0.0     33.3     1.82     3.04     5.56    87.95     2.99     2.91     50.7     2.80     2.63   45.1   21.0   34.0 -1
CALLAHAN_RYAN       77     1494:10     19     18     11    203    293    367     26.8     25.4     2.85     3.05     9.17    89.53     2.55     2.41     51.5     2.84     2.63   33.9   38.0   28.2 -1
CAMMALLERI_MIKE       65     1268:56     26     24     16    218    278    376     30.6     28.2     4.02     2.27    11.71    92.03     2.19     2.65     45.3     2.77     2.67   38.4   26.3   35.3 -1
CAMPBELL_GREGORY       60      923:50      2     15      6     84    116    140      7.4     55.6     1.75     3.44     7.69    91.21     2.32     2.61     47.0     2.88     2.65   21.6   46.5   31.8 -1
CAPUTI_LUCA       23      325:00      2      6      3     36     48     63     18.2     54.5     2.03     1.85     5.85    93.90     2.66     2.95     47.4     2.59     2.67   37.8   24.1   38.1 -1
CARCILLO_DAN       76      854:53     12     10      6    105    135    165     35.3     29.4     2.39     1.75     8.83    93.02     2.58     2.95     46.7     2.75     2.63   27.8   28.8   43.3 -1
CARTER_JEFF       74     1428:26     33     28     12    319    460    585     37.9     32.2     3.65     2.81     9.54    90.44     2.49     2.55     49.4     2.76     2.64   40.9   28.6   30.5 -1
CARTER_RYAN       38      374:12      4      5      4     38     53     62     28.6     35.7     2.25     2.56     8.97    92.56     2.42     2.72     47.0     2.62     2.62   30.4   29.4   40.2 -1
CHEECHOO_JONATHAN       61      728:31      5      9      3    117    148    194     19.2     34.6     2.14     3.13     6.07    86.62     2.58     2.70     48.8     2.55     2.62   37.0   25.9   37.2 -1
CHIMERA_JASON       78     1068:02     15     19      8    160    203    235     31.9     40.4     2.64     3.09     9.33    90.02     2.97     2.72     52.2     2.72     2.64   27.1   31.6   41.2 -1
CHIPCHURA_KYLE       74      850:22      6      6      4     54     72     91     31.6     31.6     1.34     3.32     5.92    90.98     2.40     2.96     44.8     2.75     2.60   22.4   44.0   33.6 -1
CHRISTENSEN_ERIK       58      859:56      8     18      8     86    127    172     21.6     48.6     2.58     1.53     8.77    94.53     2.82     2.68     51.3     2.77     2.58   38.5   24.0   37.5 -1
