ANDERSON_CRAIG       17      934:56     2.31     2.25     50.7    93.46     2.78     2.69 -1
AUBIN_J-SEBASTIEN       19      822:42     2.70     3.21     45.7    88.51     2.62     2.49 -1
AULD_ALEX       32     1722:17     2.16     2.68     44.6    90.69     2.78     2.60 -1
BACKSTROM_NIKLAS       57     3302:23     2.56     2.34     52.2    91.79     2.69     2.56 -1
BERNIER_JONATHAN        4      238:24     3.52     4.28     45.2    85.71     2.65     2.39 -1
BIRON_MARTIN       62     3479:04     2.85     2.62     52.0    91.72     2.71     2.61 -1
BOUCHER_BRIAN        5      238:06     2.27     1.76     56.2    93.20     2.58     2.61 -1
BRODEUR_MARTIN       77     4535:03     2.29     2.21     50.9    91.84     2.80     2.66 -1
BRYZGALOV_ILYA       63     3515:30     2.32     2.46     48.6    91.92     2.74     2.51 -1
BUDAJ_PETER       35     1911:31     2.95     2.57     53.4    90.34     2.66     2.51 -1
CLOUTIER_DAN        9      489:10     2.45     3.43     41.7    88.66     2.59     2.46 -1
CONKLIN_TY       33     1865:33     2.90     2.51     53.6    92.30     2.72     2.64 -1
CRAWFORD_COREY        5      224:09     2.14     2.14     50.0    92.86     2.88     2.30 -1
DENIS_MARC       10      414:56     2.75     4.05     40.4    85.93     2.80     2.61 -1
DIPIETRO_RICK       63     3697:47     2.29     2.81     44.9    90.24     2.80     2.60 -1
DUBIELEWICZ_WADE       20     1132:23     2.28     2.70     45.7    91.87     2.75     2.61 -1
ELLIS_DAN       44     2228:26     2.67     2.29     53.8    92.56     2.77     2.57 -1
EMERY_RAY       31     1687:20     2.88     3.13     47.9    88.94     2.77     2.63 -1
ERSBERG_ERIK       14      798:59     2.48     2.48     50.0    92.70     2.77     2.44 -1
FERNANDEZ_MANNY        4      224:07     2.68     4.28     38.5    80.95     2.82     2.62 -1
FLEURY_MARC-ANDRE       35     1837:26     2.91     2.35     55.3    92.00     2.65     2.56 -1
GARON_MATHIEU       47     2650:58     2.56     2.65     49.1    91.36     2.66     2.53 -1
GERBER_MARTIN       57     3197:02     3.19     2.72     54.0    91.04     2.76     2.58 -1
GIGUERE_JEAN-SEBASTIEN       58     3265:25     2.39     2.13     52.8    92.21     2.75     2.59 -1
GRAHAME_JOHN       17      827:31     2.54     3.70     40.7    87.41     2.73     2.66 -1
HALAK_JAROSLAV        6      284:40     2.95     2.11     58.3    93.38     2.56     2.77 -1
HARDING_JOSH       29     1510:05     2.46     2.94     45.6    90.69     2.73     2.54 -1
HASEK_DOMINIK       41     2346:43     3.09     2.15     59.0    90.16     2.71     2.56 -1
HEDBERG_JOHAN       36     1927:14     2.21     3.46     39.0    89.18     2.75     2.63 -1
HILLER_JONAS       23     1223:07     2.11     2.06     50.6    92.72     2.74     2.58 -1
HOLMQVIST_JOHAN       47     2547:13     2.97     3.04     49.4    88.92     2.75     2.65 -1
HOWARD_JIMMY        4      197:04     1.22     2.13     36.4    92.63     2.68     2.51 -1
HUET_CRISTOBAL       51     2948:55     3.25     2.30     58.6    92.13     2.74     2.66 -1
JOHNSON_BRENT       19     1032:01     2.33     2.67     46.5    90.80     2.73     2.72 -1
JOSEPH_CURTIS        9      399:40     2.85     2.55     52.8    90.61     2.53     2.51 -1
KHABIBULIN_NIKOLAI       50     2871:04     2.90     2.63     52.4    90.83     2.72     2.49 -1
KIPRUSOFF_MIIKKA       76     4378:19     2.75     2.69     50.6    90.59     2.69     2.53 -1
KOLZIG_OLAF       54     3153:22     2.83     2.89     49.5    89.31     2.76     2.69 -1
LABARBERA_JASON       45     2395:42     2.53     3.03     45.5    90.90     2.66     2.47 -1
LALIME_PATRICK       32     1827:50     2.69     2.82     48.8    89.69     2.62     2.58 -1
LECLAIRE_PASCAL       54     2965:55     2.33     2.23     51.1    91.93     2.75     2.58 -1
LEGACE_MANNY       66     3645:41     2.44     2.42     50.2    91.04     2.75     2.51 -1
LEHTONEN_KARI       48     2706:46     2.42     2.90     45.4    91.60     2.76     2.62 -1
LUNDQVIST_HENRIK       72     4279:48     2.47     2.20     52.8    91.30     2.77     2.64 -1
LUONGO_ROBERTO       73     4170:03     2.42     2.37     50.4    91.72     2.72     2.57 -1
MASON_CHRIS       51     2671:58     2.65     2.90     47.8    89.79     2.65     2.47 -1
MILLER_RYAN       76     4463:59     2.97     2.65     52.9    90.57     2.76     2.64 -1
NABOKOV_EVGENI       77     4475:33     2.59     2.15     54.7    90.92     2.73     2.56 -1
NIITTYMAKI_ANTERO       28     1385:11     2.86     2.86     50.0    90.77     2.67     2.64 -1
NORRENA_FREDRIK       37     1939:32     2.26     2.69     45.6    89.68     2.77     2.56 -1
OSGOOD_CHRIS       43     2407:49     3.02     2.07     59.3    91.48     2.67     2.60 -1
PAVELEC_ONDREJ        7      347:16     3.46     3.11     52.6    90.53     2.79     2.76 -1
PRICE_CAREY       41     2388:22     2.81     2.56     52.3    91.98     2.80     2.61 -1
RAMO_KARRI       22     1268:43     2.55     2.98     46.2    90.02     2.79     2.59 -1
RASK_TUUKKA        4      184:24     3.90     3.25     54.5    88.64     2.90     2.70 -1
RAYCROFT_ANDREW       19      944:42     2.54     3.94     39.2    87.53     2.84     2.62 -1
ROLOSON_DWAYNE       43     2320:12     2.61     3.05     46.1    90.13     2.71     2.48 -1
SABOURIN_DANY       24     1201:31     2.70     2.70     50.0    90.75     2.79     2.66 -1
SANFORD_CURTIS       16      665:53     2.34     2.88     44.8    89.47     2.62     2.55 -1
SMITH_MIKE       34     1945:41     2.44     2.59     48.5    90.08     2.66     2.58 -1
TELLQVIST_MIKAEL       22     1224:04     2.70     2.75     49.5    90.74     2.71     2.54 -1
THEODORE_JOSE       53     3028:02     2.46     2.42     50.4    91.07     2.71     2.55 -1
THIBAULT_JOCELYN       12      506:09     2.85     3.32     46.2    87.10     2.74     2.67 -1
THOMAS_TIM       57     3341:59     2.51     2.41     51.1    92.25     2.82     2.66 -1
TOIVONEN_HANNU       23     1202:29     2.29     3.39     40.4    87.96     2.66     2.58 -1
TOSKALA_VESA       66     3777:29     2.80     2.75     50.4    90.36     2.76     2.61 -1
TURCO_MARTY       62     3623:31     2.78     2.32     54.5    90.90     2.68     2.49 -1
VALIQUETTE_STEVE       13      685:35     2.19     2.19     50.0    91.55     2.81     2.73 -1
VOKOUN_TOMAS       69     3990:37     2.53     2.63     49.0    92.02     2.79     2.71 -1
WARD_CAM       68     3870:08     3.05     2.73     52.8    90.38     2.73     2.64 -1
WEEKES_KEVIN        9      343:25     2.62     2.97     46.9    89.38     2.66     2.60 -1
