COBURN_BRAYDON       80     1970:02      7     21      9    130    187    277      7.1     21.2     3.02     2.83     9.73    90.97     3.30     2.59     56.0     2.92     2.72   28.7   38.1   33.2 -1
COLAIACOVO_CARLO       73     1333:07      3     27     14     87    125    174      3.9     35.5     3.42     2.43    10.94    89.53     2.82     2.72     50.9     2.72     2.66   45.8   20.7   33.5 -1
COMMODORE_MIKE       81     1854:28      5     19     11    103    148    230      6.7     25.3     2.43     3.14    10.01    90.20     2.89     2.42     54.4     3.00     2.67   22.0   41.6   36.4 -1
CORVO_JOE       81     1968:50     14     24      6    213    305    444     13.0     22.2     3.29     2.38     9.44    91.78     2.60     2.66     49.5     2.92     2.76   41.4   28.1   30.6 -1
CULLIMORE_JASSEN       68     1142:19      2      8      4     52     70    123      5.7     22.9     1.84     2.78     7.10    92.49     3.09     2.54     54.9     2.84     2.76   24.4   38.2   37.4 -1
DALEY_TREVOR       75     1650:18      7     18     11    104    144    195     10.0     25.7     2.54     3.13     9.26    89.86     3.13     2.86     52.2     2.95     2.64   26.9   36.5   36.6 -1
DAVISON_ROB       23      232:04      0      2      2     15     26     33      0.0     25.0     2.07     2.84     7.77    90.98     2.98     2.35     56.0     2.71     2.68   28.8   33.0   38.1 -1
DE_VRIES_GREG       71     1074:27      1      4      2     38     63    108      3.3     13.3     1.68     2.85     7.18    91.11     2.56     2.58     49.8     2.71     2.69   27.5   35.1   37.3 -1
DOUGHTY_DREW       81     1930:07      6     21      5    126    192    295      8.0     28.0     2.33     2.74     8.02    90.20     2.62     2.57     50.5     2.91     2.69   35.1   33.1   31.8 -1
DREWISKE_DAVIS       17      294:25      0      3      1     21     36     42      0.0     37.5     1.63     2.24     5.37    92.14     2.48     2.57     49.0     2.81     2.66   30.5   32.3   37.2 -1
EATON_MARK       68     1208:15      4      5      3     34     58     85     10.3     12.8     1.94     2.88     8.07    90.97     3.43     2.72     55.8     2.83     2.71   26.3   39.0   34.7 -1
EDLER_ALEXANDER       79     1674:02     10     26     10    142    213    334     10.8     28.0     3.33     2.26    10.97    91.57     2.87     2.53     53.2     2.73     2.69   39.1   28.4   32.5 -1
EHRHOFF_CHRISTIAN       77     1635:06      8     34     21    165    244    349      9.0     38.2     3.27     2.68    10.24    89.92     2.85     2.16     56.9     2.74     2.70   39.0   27.9   33.1 -1
EMINGER_STEVE       71     1533:23      5     21      7     85    122    174      6.6     27.6     2.97     3.01    10.53    90.30     2.58     2.90     47.1     2.91     2.69   30.3   33.7   36.1 -1
ENSTROM_TOBIAS       82     1929:05      5     27     12     86    119    169      4.8     26.0     3.23     3.52    11.95    88.89     3.15     3.13     50.2     2.90     2.71   28.2   38.4   33.3 -1
ERICSSON_JONATHAN       19      335:48      1      3      1     25     31     46      7.7     23.1     2.32     3.40     8.02    88.95     3.46     2.65     56.6     2.72     2.70   37.1   32.5   30.4 -1
ERSKINE_JOHN       52      873:18      0      4      2     50     83    128      0.0     16.7     1.65     2.20     5.73    92.87     3.75     2.83     57.0     2.80     2.73   29.1   31.9   39.0 -1
EXELBY_GARNET       59      986:31      0      7      4     42     64     83      0.0     22.6     1.89     3.53     8.05    90.48     3.31     3.05     52.0     2.89     2.70   21.1   41.2   37.7 -1
FERENCE_ANDREW       47     1012:01      1     15      6     72    103    148      2.2     33.3     2.67     2.13     8.79    93.28     3.68     2.26     62.0     2.90     2.71   30.4   34.4   35.2 -1
FESTERLING_BRETT       40      666:55      0      5      3     15     28     49      0.0     33.3     1.35     1.80     5.88    94.51     3.02     3.00     50.2     2.88     2.69   22.7   38.2   39.1 -1
FINGER_JEFF       66     1351:03      6     17      6     68    104    163      9.7     27.4     2.75     4.09     9.89    87.53     3.02     3.08     49.5     2.91     2.70   27.8   34.6   37.7 -1
FISTRIC_MARK       36      573:19      0      4      3     35     47     60      0.0     21.1     1.99     3.56     8.26    88.85     2.71     2.85     48.7     2.85     2.55   24.8   37.5   37.7 -1
FOOTE_ADAM       42      825:39      1      6      1     19     29     43      5.3     31.6     1.38     3.56     6.38    90.24     2.51     2.88     46.5     3.09     2.67   18.3   44.6   37.1 -1
FOSTER_KURTIS       10      135:52      1      5      1     10     18     31      6.7     33.3     6.62     1.77    22.73    93.33     2.49     2.35     51.5     2.66     2.69   28.7   39.3   32.0 -1
FROGREN_JONAS       41      550:56      1      6      0     12     18     31      5.9     35.3     1.85     3.05     7.30    91.17     3.08     3.34     47.9     2.82     2.68   23.6   41.4   35.0 -1
GAUTHIER_DENIS       65      944:41      2      2      1     36     62    101      8.0      8.0     1.59     3.49     6.83    88.98     2.59     2.34     52.5     2.77     2.66   26.0   40.8   33.2 -1
GERVAIS_BRUNO       69     1489:48      3     16      6     82    124    191      5.8     30.8     2.09     3.50     7.62    90.51     2.75     2.96     48.2     2.92     2.69   27.4   41.0   31.6 -1
GILBERT_TOM       82     1800:28      5     40     14    107    152    212      5.4     43.0     3.10     3.07    10.63    90.44     2.84     2.68     51.5     2.85     2.67   32.9   34.2   32.8 -1
GILL_HAL       62     1109:28      2      8      0     40     66    113      4.5     18.2     2.38     2.87     9.76    91.25     3.04     2.67     53.2     2.98     2.68   21.9   44.1   34.0 -1
GIORDANO_MARK       57      919:24      2     17      6     82    117    177      3.7     31.5     3.52     2.48     9.39    89.87     3.23     2.95     52.3     2.69     2.68   45.5   20.8   33.7 -1
GIRARDI_DAN       82     1765:21      4     18      5    122    181    311      6.6     29.5     2.07     2.35     6.36    92.27     2.65     2.54     51.1     2.96     2.75   35.9   31.5   32.5 -1
GLEASON_TIM       70     1446:33      0     12      7     61     97    148      0.0     22.2     2.24     3.03     8.18    91.01     3.23     2.28     58.6     3.00     2.78   26.7   38.6   34.7 -1
GOLIGOSKI_ALEX       45      823:52      6     14      8     61     86    138     11.1     25.9     3.93     2.19    12.03    90.10     2.92     2.81     51.0     2.74     2.74   44.4   22.8   32.8 -1
GONCHAR_SERGEI       25      629:38      6     13      9     71    103    138     12.5     27.1     4.57     2.38    12.83    91.20     3.13     2.75     53.2     2.79     2.81   44.1   24.1   31.8 -1
GORGES_JOSH       81     1630:19      4     19      8     63    109    166      4.9     23.2     3.02     2.83    11.20    91.09     2.80     2.76     50.3     2.92     2.69   28.8   37.0   34.2 -1
GRAGNANI_MARC-ANDRE        4       61:33      0      0      0      3      5      7      0.0      0.0     3.90     2.92    12.90    91.89     2.99     2.45     55.0     2.74     2.80   46.7   22.2   31.1 -1
GREBESHKOV_DENIS       72     1524:28      7     32     16     62     93    139      8.3     38.1     3.31     3.11    11.67    89.88     2.76     2.65     51.0     2.81     2.65   33.6   31.5   34.9 -1
GREEN_MIKE       68     1751:42     31     42     18    243    338    480     21.5     29.2     4.93     2.12    12.08    92.20     2.58     3.14     45.1     2.79     2.73   46.3   21.5   32.2 -1
GREENE_ANDY       49      798:15      2      7      1     38     66    106      6.5     22.6     2.33     1.50     7.35    94.85     2.79     2.45     53.2     2.66     2.75   37.6   27.5   34.9 -1
GREENE_MATT       82     1616:14      2     12      5     76    140    182      4.2     25.0     1.78     2.67     7.46    90.95     2.89     2.64     52.3     2.90     2.66   25.9   38.2   35.9 -1
GROSSMANN_NICKLAS       81     1428:35      2     10      5     60     92    140      4.3     21.7     1.93     3.19     8.32    89.60     3.05     2.83     51.9     2.84     2.65   23.7   37.8   38.5 -1
HAINSEY_RON       81     1810:26      6     33     16    148    224    314      6.8     37.5     2.92     3.18     9.89    89.88     3.19     3.23     49.7     2.87     2.73   34.4   34.8   30.9 -1
HALE_DAVID       48      726:39      3      6      5     22     38     58     10.7     21.4     2.31     3.88     9.62    89.51     2.51     2.76     47.6     2.72     2.64   18.3   41.9   39.8 -1
HAMHUIS_DAN       82     1870:29      3     23     11    135    174    246      4.3     32.9     2.25     3.43     8.79    89.16     2.42     2.31     51.1     2.98     2.67   23.0   44.0   33.0 -1
HAMRLIK_ROMAN       81     1774:20      6     27     16    143    187    264      8.0     36.0     2.54     3.01     8.85    90.70     2.85     2.67     51.6     2.90     2.71   27.8   37.8   34.4 -1
HANNAN_SCOTT       81     1811:16      1      9      4     70    100    143      2.1     18.8     1.59     3.48     6.99    89.74     2.66     2.71     49.5     2.99     2.65   20.3   44.8   34.8 -1
