ANDERSON_CRAIG       71     4235:16     2.76     2.63     51.2    91.67     2.73     2.64 -1
AULD_ALEX       24     1298:32     2.68     2.96     47.5    89.51     2.75     2.56 -1
BACKSTROM_NIKLAS       60     3469:23     2.56     2.70     48.7    90.36     2.76     2.64 -1
BERNIER_JONATHAN        3      180:00     3.67     1.33     73.3    95.60     2.82     2.61 -1
BIRON_MARTIN       29     1614:07     2.38     3.27     42.1    89.70     2.69     2.59 -1
BOUCHER_BRIAN       33     1742:02     1.93     2.75     41.2    89.95     2.75     2.65 -1
BRODEUR_MARTIN       76     4428:20     2.63     2.22     54.2    91.72     2.81     2.66 -1
BRYZGALOV_ILYA       68     3963:09     2.53     2.32     52.2    91.93     2.81     2.65 -1
BUDAJ_PETER       15      727:37     2.97     2.64     52.9    91.71     2.72     2.78 -1
CLEMMENSEN_SCOTT       23     1215:21     2.71     2.91     48.2    91.17     2.73     2.60 -1
CONKLIN_TY       26     1451:11     2.27     2.44     48.2    92.27     2.88     2.55 -1
DANIS_YANN       11      438:19     2.05     2.05     50.0    92.50     2.56     2.85 -1
DESLAURIERS_JEFF       44     2553:38     2.26     3.29     40.7    90.01     2.73     2.60 -1
DIPIETRO_RICK        7      398:00     1.66     2.41     40.7    90.53     2.74     2.59 -1
DROUIN-DESLAURIERS_JEFF        3      183:58     2.94     1.96     60.0    93.68     2.73     2.68 -1
DUBNYK_DEVAN       19     1075:26     2.62     3.57     42.3    88.93     2.82     2.56 -1
ELLIOTT_BRIAN       55     3037:56     2.49     2.55     49.4    90.93     2.76     2.61 -1
ELLIS_DAN       31     1714:39     2.73     2.69     50.3    90.92     2.82     2.59 -1
EMERY_RAY       29     1683:33     3.14     2.60     54.7    90.68     2.86     2.60 -1
ERSBERG_ERIK       11      551:01     2.61     2.40     52.2    90.60     2.77     2.72 -1
FLEURY_MARC-ANDRE       67     3798:17     2.99     2.64     53.1    90.56     2.71     2.64 -1
GARON_MATHIEU       35     1770:45     2.30     2.78     45.3    90.43     2.72     2.67 -1
GIGUERE_JEAN-SEBASTIEN       35     2023:40     2.05     2.85     41.8    90.68     2.79     2.62 -1
GREISS_THOMAS       16      782:24     3.14     2.68     53.9    91.23     2.68     2.64 -1
GUSTAVSSON_JONAS       42     2339:36     2.56     2.85     47.4    90.31     2.65     2.65 -1
HALAK_JAROSLAV       45     2629:56     2.76     2.37     53.8    92.49     2.68     2.65 -1
HARDING_JOSH       25     1300:11     2.49     3.05     45.0    90.46     2.80     2.64 -1
HEDBERG_JOHAN       47     2631:57     2.58     2.60     49.8    91.59     2.69     2.63 -1
HILLER_JONAS       59     3317:44     2.91     2.73     51.6    91.80     2.72     2.59 -1
HOWARD_JIMMY       63     3735:18     2.84     2.27     55.7    92.36     2.77     2.67 -1
